word,count,words,score,sum,average
אפר,6,"אפר, ארפ, פאר, פרא, ראפ, רפא","133, 32, 256, 90, 13, 15",539,89
בגו,5,"בגו, בוג, גבו, גוב, וגב","22, 15, 213, 173, 17",440,73
בגל,5,"בגל, גבל, גלב, לבג, לגב","111, 40, 11, 134, 21",317,52
בגנ,6,"בגנ, בנג, גבנ, גנב, נבג, נגב","528, 16, 16, 167, 12, 193",932,155
בגר,5,"בגר, ברג, גבר, גרב, רגב","40, 191, 851, 44, 100",1226,204
בדה,5,"בדה, בהד, דהב, הבד, הדב","60, 6, 13, 156, 54",289,48
בדנ,5,"בדנ, בנד, דבנ, דנב, נדב","20, 63, 6, 22, 790",901,150
בהז,5,"בזה, הבז, הזב, זבה, זהב","1599, 30, 7, 11, 1628",3275,545
בהל,5,"בלה, הבל, הלב, לבה, להב","375, 186, 1224, 194, 215",2194,365
בהר,6,"בהר, ברה, הבר, הרב, רבה, רהב","820, 51, 417, 10108, 8160, 20",19576,3262
בול,6,"בול, בלו, ובל, ולב, לבו, לוב","292, 163, 38, 53, 325, 247",1118,186
בונ,5,"בונ, בנו, ובנ, נבו, נוב","251, 4857, 347, 79, 55",5589,931
בור,6,"בור, ברו, ובר, ורב, רבו, רוב","249, 11, 250, 310, 290, 10691",11801,1966
בחט,5,"בטח, חבט, חטב, טבח, טחב","302, 30, 28, 575, 13",948,158
בחר,5,"בחר, ברח, חבר, חרב, רחב","1126, 378, 5521, 599, 2192",9816,1636
בחש,5,"בשח, חבש, חשב, שבח, שחב","6, 51, 426, 110, 10",603,100
ביל,5,"ביל, בלי, יבל, לבי, ליב","613, 3563, 6, 80, 109",4371,728
ביש,5,"ביש, יבש, ישב, שבי, שיב","41, 318, 477, 159, 7",1002,167
בכר,5,"בכר, ברכ, כבר, כרב, רכב","233, 76, 12280, 435, 1382",14406,2401
בלמ,5,"בלמ, לבמ, למב, מבל, מלב","97, 112, 6, 9, 36",260,43
בלס,5,"בלס, בסל, לבס, לסב, סבל","18, 53, 11, 6, 829",917,152
בלק,5,"בלק, בקל, לבק, קבל, קלב","341, 19, 9, 185, 8",562,93
בלש,5,"בלש, בשל, לבש, שבל, שלב","61, 11308, 141, 6, 1267",12783,2130
במר,5,"במר, ברמ, מבר, מרב, רבמ","15, 512, 19, 106, 33",685,114
בער,6,"בער, ברע, עבר, ערב, רבע, רעב","86, 26, 6986, 2760, 333, 458",10649,1774
בקר,5,"בקר, ברק, קבר, קרב, רקב","475, 1617, 419, 3674, 12",6197,1032
גדו,5,"גוד, דגו, דוג, וגד, ודג","37, 14, 126, 15, 8",200,33
גול,5,"גול, גלו, וגל, לגו, לוג","442, 41, 50, 47, 35",615,102
דהל,5,"דלה, הדל, הלד, לדה, להד","247, 79, 6, 53, 57",442,73
דהנ,5,"דהנ, דנה, הדנ, הנד, נדה","34, 421, 114, 9, 16",594,99
דהר,5,"דהר, דרה, הדר, הרד, רדה","9, 87, 383, 96, 9",584,97
דוי,5,"דיו, ודי, ויד, ידו, יוד","463, 125, 64, 1000, 115",1767,294
דול,5,"דול, ודל, ולד, לדו, לוד","31, 10, 70, 80, 392",583,97
דומ,6,"דומ, דמו, ודמ, ומד, מדו, מוד","160, 222, 113, 6, 50, 125",676,112
דונ,5,"דונ, דנו, ודנ, ונד, נוד","443, 145, 139, 18, 16",761,126
דוע,5,"דעו, ודע, ועד, עדו, עוד","10, 8, 6778, 16, 15168",21980,3663
דור,6,"דור, דרו, ודר, ורד, רדו, רוד","1353, 56, 37, 111, 13, 226",1796,299
דיל,5,"דיל, דלי, ילד, לדי, ליד","146, 97, 1381, 14, 3942",5580,930
דימ,5,"דימ, דמי, ידמ, מדי, מיד","23, 343, 323, 5177, 2128",7994,1332
דיר,5,"דיר, דרי, ירד, רדי, ריד","184, 66, 628, 14, 290",1182,197
דקר,5,"דקר, דרק, קדר, קרד, רקד","84, 71, 35, 16, 17",223,37
הול,5,"הול, הלו, והל, ולה, להו","319, 46, 14, 166, 13",558,93
הונ,6,"הונ, הנו, והנ, ונה, נהו, נוה","724, 834, 4678, 12, 8, 179",6435,1072
הור,5,"הור, הרו, והר, ורה, רוה","8, 8, 117, 61, 11",205,34
הימ,5,"הימ, המי, ימה, מהי, מיה","6169, 177, 59, 689, 114",7208,1201
הכל,5,"הכל, הלכ, כהל, כלה, לכה","1790, 1058, 11, 108, 58",3025,504
הכנ,5,"הכנ, הנכ, כהנ, כנה, נכה","25, 32, 2240, 100, 104",2501,416
הלמ,6,"הלמ, המל, להמ, למה, מהל, מלה","186, 18, 9067, 5525, 6, 151",14953,2492
הלנ,6,"הלנ, הנל, להנ, לנה, נהל, נלה","156, 14, 1383, 70, 8, 10",1641,273
הלס,5,"הלס, הסל, לסה, סהל, סלה","51, 71, 38, 12, 13",185,30
הלק,6,"הלק, הקל, להק, לקה, קהל, קלה","6, 314, 56, 214, 1110, 1055",2755,459
המנ,5,"המנ, הנמ, מהנ, מנה, נמה","203, 180, 1883, 434, 16",2716,452
המר,6,"המר, הרמ, מהר, מרה, רהמ, רמה","165, 114, 870, 113, 67, 527",1856,309
המש,5,"השמ, מהש, משה, שהמ, שמה","10133, 8, 4861, 6358, 3954",25314,4219
הנק,5,"הנק, הקנ, נקה, קהנ, קנה","9, 159, 7, 15, 856",1046,174
הפר,5,"הפר, הרפ, פהר, פרה, רפה","123, 208, 15, 353, 89",788,131
הצר,5,"הצר, הרצ, צהר, צרה, רצה","178, 336, 24, 305, 1128",1971,328
וחל,5,"וחל, ולח, חול, חלו, לוח","21, 61, 1138, 222, 1285",2727,454
וחמ,5,"וחמ, חומ, חמו, מוח, מחו","41, 1293, 23, 324, 56",1737,289
וחנ,5,"וחנ, ונח, חנו, נוח, נחו","10, 19, 63, 723, 8",823,137
וטל,5,"וטל, ולט, טול, לוט, לטו","39, 31, 116, 128, 42",356,59
וטס,5,"וטס, וסט, טוס, טסו, סטו","42, 131, 25, 78, 35",311,51
וטפ,5,"וטפ, טופ, טפו, פוט, פטו","37, 28, 20, 73, 7",165,27
ויל,5,"ויל, ולי, יול, לוי, ליו","111, 82, 42, 2101, 14",2350,391
וימ,5,"וימ, ומי, יומ, מוי, מיו","82, 692, 9726, 12, 82",10594,1765
ויפ,5,"ופי, יופ, יפו, פוי, פיו","35, 18, 806, 9, 388",1256,209
ויר,5,"ויר, יור, ירו, רוי, ריו","19, 17, 208, 286, 353",883,147
וכל,6,"וכל, ולכ, כול, כלו, לוכ, לכו","2864, 25, 179, 20, 31, 85",3204,534
ולס,6,"ולס, וסל, לוס, לסו, סול, סלו","217, 40, 560, 9, 272, 9",1107,184
ולק,5,"וקל, לוק, לקו, קול, קלו","164, 640, 883, 1982, 13",3682,613
ומס,6,"ומס, וסמ, מוס, מסו, סומ, סמו","29, 22, 75, 6, 12, 16",160,26
ומק,5,"וקמ, מוק, מקו, קומ, קמו","8, 13, 152, 754, 392",1319,219
ומר,5,"ומר, ורמ, מור, רומ, רמו","63, 13, 745, 163, 85",1069,178
ומש,5,"ושמ, מוש, משו, שומ, שמו","2203, 19, 24, 3555, 8719",14520,2420
ומת,6,"ומת, ותמ, מות, מתו, תומ, תמו","406, 10, 1328, 579, 1479, 44",3846,641
ונס,6,"ונס, וסנ, נוס, נסו, סונ, סנו","26, 40, 7, 122, 136, 7",338,56
ונע,5,"ונע, נוע, נעו, עונ, ענו","65, 10, 111, 12, 103",301,50
ונק,5,"וקנ, נוק, נקו, קונ, קנו","18, 24, 34, 241, 137",454,75
ונר,6,"ונר, ורנ, נור, נרו, רונ, רנו","7, 101, 202, 11, 712, 145",1178,196
וספ,5,"ופס, סופ, ספו, פוס, פסו","36, 3808, 6, 20, 24",3894,649
וצר,6,"וצר, ורצ, צור, צרו, רוצ, רצו","59, 35, 721, 70, 16, 571",1472,245
וקר,5,"וקר, ורק, קור, קרו, רוק","31, 3321, 200, 155, 1962",5669,944
חלמ,5,"חלמ, חמל, לחמ, מחל, מלח","127, 9, 1151, 19, 938",2244,374
חמר,5,"חמר, חרמ, מחר, מרח, רחמ","32, 243, 374, 6, 270",925,154
חצר,5,"חצר, חרצ, צרח, רחצ, רצח","473, 13, 9, 14, 1969",2478,413
חרת,5,"חרת, חתר, רחת, רתח, תרח","27, 43, 6, 6, 26",108,18
ילנ,5,"ילנ, לינ, לני, ניל, נלי","8, 191, 153, 254, 51",657,109
ילק,5,"יקל, ליק, לקי, קיל, קלי","54, 9, 7, 81, 230",381,63
ינס,5,"ינס, ניס, נסי, סינ, סני","6, 56, 26, 1988, 28",2104,350
ינק,5,"ינק, ניק, נקי, קינ, קני","14, 175, 260, 215, 213",877,146
יפר,5,"יפר, פיר, פרי, ריפ, רפי","11, 50, 1671, 12, 275",2019,336
יקר,5,"יקר, ירק, קיר, קרי, ריק","494, 98, 504, 724, 717",2537,422
ירש,5,"ירש, ישר, ריש, שיר, שרי","569, 947, 99, 2875, 544",5034,839
כלמ,5,"כלמ, לכמ, למכ, מכל, מלכ","10, 3743, 53, 4871, 4880",13557,2259
כמס,5,"כמס, כסמ, מכס, מסכ, סמכ","27, 67, 162, 671, 769",1696,282
לספ,5,"לספ, לפס, ספל, פלס, פסל","49, 25, 31, 63, 813",981,163
מרש,5,"מרש, משר, רשמ, שמר, שרמ","16, 35, 367, 738, 7",1163,193
מרת,6,"מרת, מתר, רמת, רתמ, תמר, תרמ","78, 8, 2986, 18, 428, 715",4233,705
סקר,6,"סקר, סרק, קסר, קרס, רסק, רקס","322, 114, 21, 289, 15, 65",826,137
עקר,5,"עקר, ערק, קער, קרע, רקע","143, 55, 6, 156, 2547",2907,484
ערש,6,"ערש, עשר, רעש, רשע, שער, שרע","137, 2688, 348, 192, 2250, 21",5636,939
פרש,6,"פרש, פשר, רפש, רשפ, שפר, שרפ","1634, 179, 10, 90, 243, 258",2414,402
