word,count
בדת,1
"""חכ",2
גנפ,3
"""סש",1
דול,5
הופ,4
דהר,5
אנס,4
מקש,3
דהק,2
אהס,2
אגי,4
גפר,3
אבפ,3
הלר,4
-כל,2
חמר,5
חנת,3
נרש,1
אזר,3
בגח,2
ברת,3
ומנ,4
נסר,3
אבק,3
משת,2
דמפ,1
זית,1
הפר,5
ויר,5
גלש,3
לפק,3
וחש,4
לפר,4
בצר,4
אגנ,3
אלת,4
בלק,5
בנע,2
דממ,3
בוז,4
חמפ,2
טיר,4
"""וט",1
אהפ,3
דרת,3
ללת,1
וסר,4
בול,6
איס,3
אבמ,2
גיר,3
אגד,4
סקר,6
הטע,3
אחנ,2
בנס,4
הול,5
גוט,2
פצת,1
בבד,1
בהע,1
דחס,1
אפר,7
גהה,2
במע,2
אנצ,3
אאמ,1
חנס,2
חנש,2
אחט,1
ביי,2
כלפ,3
גלפ,1
"""טנ",1
וזע,3
אהח,1
הלת,3
איפ,3
בטל,4
גלמ,3
געש,1
חננ,2
כנפ,2
טיפ,3
אדס,3
בזל,4
גגה,2
בהת,3
'-ה,1
אסר,4
במת,3
בדש,3
סער,2
למק,3
חמק,3
הלפ,3
כלס,3
נצר,1
עפר,4
אנק,4
בדו,4
וננ,2
דוס,2
--ב,1
הוש,2
בוח,1
מפת,1
היל,4
טלק,4
ייק,2
טימ,3
ינק,5
ימק,4
דמת,3
-בש,1
"""ככ",2
ילנ,5
דסע,2
דיק,2
אזש,1
ייש,2
דהל,5
טנש,2
וחט,2
עצר,2
לפש,4
ונק,5
ונש,3
אחי,1
"""אי",1
אוס,3
'סצ,1
גרר,2
גלנ,3
הוצ,2
חפש,3
כנס,3
בבת,1
"""זל",2
ילצ,2
ימס,4
"""אע",1
גמפ,2
דחל,3
--ו,1
כלע,1
ככר,2
יתת,1
דיי,1
ילק,5
הפצ,2
השש,2
חכת,1
מעת,1
בדק,2
הכת,4
יסר,3
הטנ,3
אצת,2
דומ,6
דות,2
יכס,1
בזק,1
דיס,4
למצ,2
בחכ,1
גהס,3
גספ,1
נעש,3
חצק,1
בגש,1
דוש,2
וטע,3
אאת,1
בגו,5
בגה,2
אמק,3
בגד,2
איר,5
הוט,2
ההת,2
כממ,2
החצ,4
בלל,2
ההל,1
יפק,2
ונת,3
בהס,3
גחל,1
כסע,1
וכס,3
אגה,3
אוט,3
אטמ,6
נעת,2
גדה,4
יסק,4
דוח,4
הות,4
ווכ,1
דדנ,2
עקש,1
בתת,1
גהמ,4
"""גי",1
ולר,4
"""בע",1
ננע,2
וות,1
דטי,1
ייל,2
"""מנ",1
דפר,4
לנק,3
בטס,2
'גי,2
ססק,1
ההמ,3
אבד,3
דוו,2
דפק,3
בטק,3
"""די",1
בנש,4
'יצ,1
דיש,3
דלש,2
וזי,2
חלפ,3
'הל,2
חקש,2
מער,4
בוצ,2
הזנ,1
בגז,1
בהפ,1
אדש,2
הכר,4
'גפ,1
"""זט",1
לעק,1
בקש,4
נפת,3
בבס,2
גלל,1
וזר,2
בטי,4
"""מר",2
חנצ,2
יספ,4
בטר,1
טפש,4
'דת,1
זחנ,2
"""אכ",1
הספ,4
כנר,2
לעצ,3
לער,3
בטנ,3
גהת,3
וכר,4
"""מע",1
ועצ,2
דלע,1
טלס,4
--כ,1
בדה,5
בהי,3
התת,1
כפש,3
אאח,1
בומ,3
ווט,2
ויק,4
מנר,4
בוי,2
טרש,2
חמס,2
דער,4
אבט,2
ינת,3
--ל,1
חיק,4
גדת,1
טלפ,4
"""לצ",1
ופצ,2
"""טי",1
חטר,2
"""דפ",1
ונס,6
אמס,5
אנפ,1
הכס,2
בגל,5
בכפ,1
ביק,3
'דר,2
וטס,5
"""זי",2
"""חי",2
"""כצ",1
ביכ,2
בבר,3
בשש,2
למפ,2
נסק,2
גונ,4
"""גכ",2
ללמ,2
חכש,2
וטל,5
גסר,3
אנת,2
גדו,5
גנע,2
אכר,1
אלר,4
ילת,3
"""דכ",1
אוש,5
ופת,2
הלצ,3
אכמ,4
ממס,2
זינ,2
ופק,4
בטת,1
אלס,4
ולל,2
ימצ,3
דמס,1
אממ,3
-ומ,1
ילר,2
אדו,4
הוח,1
"""הכ",1
בחנ,1
הור,5
אטר,4
יפת,2
"""טכ",1
כמע,2
-ול,3
עפת,1
"""גל",2
חטמ,2
סרת,1
"""גע",1
אטי,3
בלמ,5
מפר,2
גזי,3
ונע,5
מפק,2
מצש,1
"""עע",1
זחי,1
דכת,1
למת,3
אחמ,1
-הש,1
אוק,3
'ור,1
ולת,4
חכנ,2
גזפ,1
ררש,1
אסק,2
בבג,1
בהה,1
עקת,2
אער,1
טער,1
ווק,3
"""יש",1
טיע,2
לנס,3
פצק,2
ולצ,4
אקש,2
רשש,1
ויס,2
ננר,1
דנש,2
בספ,2
בהצ,1
הית,2
במס,4
ושש,3
גימ,2
המצ,2
וכק,2
ותת,2
'בו,2
ללס,2
טלמ,3
דכע,2
"""גמ",1
מתת,2
דנר,4
הפפ,1
אטק,3
הוס,2
"""וכ",1
כפת,2
'נק,1
היש,2
החש,4
גלע,2
בבנ,1
דחק,3
איק,4
גזל,2
זלר,1
אזח,1
דדח,1
"""יר",1
ווח,1
"""בכ",1
מנק,3
ביס,4
אפק,4
חטפ,2
'יס,1
הסש,1
יפש,5
גיס,3
ההס,1
"""אז",1
"""כס",1
למר,3
ייפ,2
בגס,3
דקר,5
יפפ,3
בצש,1
"""זכ",1
וצצ,1
בנפ,1
"""אה",1
דנס,3
'זק,1
החפ,3
טקר,3
טיק,3
יקש,4
גצר,1
וונ,1
חצצ,1
וית,2
'הצ,1
פרת,4
נתת,2
"""גר",1
וטש,4
'בה,2
הטר,4
'לר,1
אדה,4
אלק,3
'בג,3
גגר,1
הוי,3
דוט,3
הטס,3
ומס,6
גמת,1
גנר,3
גהו,2
היס,2
ויצ,4
"""פת",2
הטכ,1
זפת,1
חימ,3
וטפ,6
אכש,3
הזת,1
כשש,1
לשש,2
לנע,1
גוי,2
גוכ,1
גהט,2
הלס,5
הטל,3
אאס,2
'יר,1
ננס,1
'וצ,1
קרת,2
זקר,1
לסק,4
נספ,2
דוצ,2
"""דש",1
מצק,2
אטפ,3
דפש,2
הנצ,1
'טק,1
"""רת",2
ירר,1
"""אד",1
אדק,1
דופ,4
וממ,1
-כמ,1
נסש,3
בבש,1
דהז,2
חלס,1
וצק,2
אהט,2
דהכ,1
בגמ,2
יעש,1
"""אל",1
מפש,1
גיי,1
-די,1
אהו,4
זחל,1
"""חנ",3
טסש,1
זיק,2
דכל,3
חינ,1
עפצ,2
זיר,2
בחפ,1
זזר,1
דמנ,3
'ספ,1
אפפ,4
לפצ,2
צרש,2
"""חת",1
אגר,4
טנר,3
מנס,4
פפר,1
פקק,1
אנר,3
דהה,2
גגח,1
ייצ,1
ושת,1
זיס,1
החס,1
-כש,2
לסש,1
גרת,1
וסת,1
אגו,3
חנק,2
עצת,1
וכש,2
הוכ,4
כעצ,1
כתת,1
חכל,4
גמצ,1
דכנ,1
'חר,1
בחמ,1
הטי,3
ויי,1
וזח,1
השת,2
דדי,1
דהס,1
אפת,1
טלר,2
"""יל",2
לרר,1
פרר,1
'הש,1
חלת,2
אדפ,2
גכנ,1
יננ,2
'צק,1
אזל,2
'גל,2
אדל,4
הרת,3
'-ו,1
יכר,2
וכפ,3
וטק,3
מסש,1
אדע,1
'אב,1
דננ,2
גחר,2
העפ,1
עצק,1
בכמ,1
'גז,1
חרת,5
ומפ,2
'-ב,2
"""בר",1
'בר,1
הננ,2
'הו,1
--מ,1
"""טמ",1
חפק,1
אכת,2
בופ,3
'בז,1
גטס,1
גהצ,1
"""כש",2
הכש,2
'זנ,1
אזט,2
חטי,1
גחכ,1
"""בל",1
גיפ,3
בגג,1
גדס,2
לסר,3
ממנ,1
ינצ,1
לקת,2
הזז,2
אכס,1
מספ,2
ופש,2
דדה,1
"""דל",1
כמפ,1
דלנ,3
וסק,4
כסש,1
גגו,3
גטנ,1
אוכ,2
חית,3
גגל,1
הצצ,2
"""צש",2
בנצ,2
גוצ,2
אוח,3
טינ,2
אקת,1
גית,1
חשת,2
'אנ,2
אמפ,3
זחמ,1
ערת,2
זפר,1
כלק,1
נפק,2
ססר,2
גהש,2
-לש,1
לשת,1
בהט,3
בחצ,2
בבי,1
בזר,2
ווי,2
זזי,1
אטנ,4
-ימ,2
"""הל",1
דלס,1
טספ,4
'בט,1
אגס,2
גנצ,1
הוו,3
לצק,1
אחק,1
דטנ,1
זממ,1
חכס,1
לנצ,2
"""אמ",1
'סת,1
'גד,1
דדר,1
בזח,1
זלש,2
חמנ,3
דסק,2
אחש,1
'בכ,2
בהכ,2
טטי,1
זלנ,1
'המ,1
נרת,1
הקת,3
"""נר",1
אזפ,2
"""אח",1
חקק,1
טמנ,1
דכפ,1
"""ול",1
"""טל",2
בנת,3
נרר,1
יצש,1
דצש,1
"""בש",2
'בת,1
דזל,1
חככ,1
דכצ,1
גגמ,1
לממ,1
גהע,1
גהפ,4
ללצ,2
זזש,1
זרש,1
זתת,1
"""בה",1
אגל,2
אזק,1
-הז,1
זנר,2
בזכ,1
"""זמ",1
"""חמ",1
"""מפ",2
יכנ,2
עפק,2
"""טת",1
בזז,1
בצת,2
בגת,3
וטי,2
"""אנ",1
"""בנ",1
ילס,4
"""אפ",1
'נצ,1
"""דצ",2
כצר,1
אדכ,1
'גר,2
דקת,1
ווס,1
"""חל",1
וכמ,1
"""סק",1
'טצ,1
בגט,1
בחי,1
היע,2
זסק,1
זלע,1
טמס,2
אוצ,1
כנת,1
'בד,2
'אה,1
"""במ",1
אטע,1
הטש,1
דמש,2
אהצ,1
'בי,2
וזז,2
הינ,3
גיצ,2
הסס,1
אעק,1
דעק,1
זיפ,3
טטר,1
"""שת",1
אאג,1
אהה,1
אאו,1
אגז,1
'דו,2
'גה,2
"""וו",1
"""ומ",1
"""למ",1
'מר,1
"""טס",1
זסר,1
"""כע",1
חיפ,3
'דצ,1
"""בק",2
ההק,2
'רש,1
'הי,1
הנת,1
"""וח",1
זנפ,1
דספ,1
העק,1
ווצ,2
מרר,1
-אל,3
אהק,2
ההו,1
בחס,3
חחח,1
זטל,1
לסת,2
"""פפ",1
דדש,1
אגג,2
בגצ,1
"""דה",1
הטק,2
-וז,2
גוו,1
"""חח",1
חנר,1
זיע,3
גזכ,1
גכל,1
גדכ,1
טלל,1
הטפ,2
יסצ,1
דרר,1
אטש,2
'דה,1
זיל,2
"""בח",1
'גח,1
חכר,2
'אי,1
'וכ,2
ככת,1
"""דמ",1
גחמ,2
בננ,1
'יע,1
דנפ,1
יפצ,2
יכש,2
צצש,1
'בס,1
'גט,1
גנש,2
זעק,1
דטר,1
'יש,1
-כנ,1
לנש,3
ייס,1
"""זע",1
-לע,1
אלע,1
"""גפ",1
טפק,1
"""רש",1
טכר,1
אשש,1
גחש,1
סקש,1
סרש,1
פקש,2
"""קת",1
לפת,2
אאט,1
בדד,1
בדח,2
בהק,2
'גת,1
דוכ,1
גות,3
בהח,1
אחכ,1
דכש,1
ללק,1
גלת,1
"""המ",1
ביע,2
"""ופ",1
החר,2
דשת,1
חקת,1
אדד,1
אכפ,1
אבח,1
בבה,1
בזמ,1
בוכ,3
דלל,1
'הר,1
הרר,1
וזנ,2
בזט,1
דזי,2
'בל,2
מצת,1
אננ,1
נסס,1
"""הע",1
כנע,1
ערר,1
"""בפ",1
נפפ,1
דצר,1
יצצ,1
בבק,1
גנק,1
צקש,1
טשש,1
-או,1
'גנ,1
גזנ,1
גשש,1
וופ,1
וזת,1
זיכ,1
"""גח",1
וחס,3
אדט,2
גיע,1
'די,1
'חי,2
אזכ,1
דחכ,1
'-ל,1
"""הנ",1
"""נס",1
"""סס",1
יסס,1
גוע,1
ייע,1
בלפ,1
סעפ,1
נפר,1
וור,1
--ש,1
גנת,1
'הת,1
אאה,1
'בח,1
בזפ,1
'גס,1
ההט,1
אהכ,1
'זמ,1
בדז,1
'הז,1
דזנ,1
זפק,1
בחק,1
וטט,1
חיכ,2
כננ,1
אחל,2
דטל,1
ללע,1
'-מ,1
"""כמ",2
מפצ,1
'מת,1
-בנ,2
-נת,1
אסס,1
חטס,1
'כצ,1
נעצ,1
"""חר",1
'דש,1
גטש,1
אגש,1
אזז,1
אאש,1
'בב,1
בקת,1
זרת,2
החת,1
טטס,1
"""לע",1
"""מש",1
מממ,1
"""נצ",1
'סע,1
יסת,1
"""דע",1
"""חפ",1
"""טפ",1
ונצ,3
קקר,1
טמש,1
סעש,1
פצש,1
שתת,1
"""ות",1
-בג,1
גחנ,2
גסס,1
'דק,1
דנת,1
"""הה",1
"""'ו",1
'וו,1
ועת,2
'זל,1
'חמ,2
'חט,1
"""ימ",2
-בל,2
'אל,1
דלר,3
ממר,1
מסס,1
ככס,1
"""נע",1
"""ער",2
"""זפ",1
צרת,1
"""אק",1
"""קק",1
בקק,1
טמק,1
'אש,1
חצש,1
אטת,1
-תת,1
אגע,1
-את,1
"""בג",1
הפת,1
'או,1
'וע,1
אזנ,2
זטי,1
חפפ,1
'יי,1
בכע,1
וכצ,2
כלצ,1
לצר,1
'אמ,1
'גמ,2
גמס,1
זמפ,1
"""דנ",1
"""סע",1
-דע,1
טעפ,1
"""הפ",1
בפר,2
דפת,1
-הפ,1
"""בצ",1
"""דק",1
הקק,1
יקק,2
"""אש",1
"""שש",1
סשת,1
עצש,1
הטת,1
ממת,2
זעת,1
"""אב",1
"""בב",1
"""בז",1
'גש,1
גגי,1
אדת,1
-דה,1
'דז,1
-הח,1
-הי,1
-וש,1
וזס,1
זעפ,1
דזר,1
אדח,1
טכס,1
יעפ,1
"""כפ",1
חכצ,1
כנק,1
-יל,1
"""גנ",1
"""חס",1
סתת,1
געת,1
וזפ,2
"""אצ",1
בטצ,1
-בר,1
בזש,1
-מש,1
אאק,1
אאד,1
'אק,1
-בי,1
בדס,1
-גג,1
גהי,1
גטר,1
דהט,1
"""-ה",1
"""גה",1
"""הר",1
הזי,1
'וז,1
בזי,1
בזת,1
וזט,1
הזט,1
זטק,1
בחת,1
וחת,1
-חי,1
חסת,1
-טי,1
אטט,1
'זי,1
'-כ,1
"""כק",1
-ככ,1
'דל,1
כלר,1
'לת,1
חממ,1
דנק,1
נשש,1
אזס,1
סצר,1
"""עצ",1
בוע,1
גטפ,1
'פצ,1
וצת,1
טטצ,1
אפצ,1
'בק,1
היק,1
"""אר",1
"""לר",1
"""טש",1
גיש,1
חסש,1
'מש,1
"""תת",1
